recordtime,A3outsiders_windiv,jockeychallenge_combo_div,winoddsrank,dbltrio3_combo_div,railtype_s,racesurface_s,owner,dbl2_combo_div,raceclass,newclass_s,dbltrio2_combo_div,jockey_id,trio_combo_div,horse_id,horsenumber,racecoursecode,race_id,theresults,dbl5_combo_div,racepace,dbl4_combo_div,win_combo_div,tce_combo_div,racegoing_s,market_prob,recordtimeperlength,dbl9_combo_div,favpos,dbl3_combo_div,horsereport,A1topfavs_windiv,trainercode,dbl8_combo_div,dbltrio1_combo_div,winodds,race_total_prob,qn_combo_div,finishtime,horsecode,winningtrainercode,runnerslist,metaspeedrank,place_combo_div,runningpositions,racedate,racesurface,jockeycode,marginsbehindleader,racegoing,dbl10_combo_div,winoddsranks,winningjockeycode,sec_timelist,racenumber,dbl6_combo_div,qtt_combo_div,dbl1_combo_div,sixup_combo_div,tripletrio_combo_div,norunners,dbl7_combo_div,qnp_combo_div,tripletriocons_combo_div,racetrainers,f4_combo_div,A2midpricers_windiv,racerating_s,raceday_id,racedistance,stdtime,favodds,place,winningsecs,horsespeedrating
55.7,,,4,,,,,,Class 4,,,,"4,5,7,2,026.00",,11,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"Near the 700 Metres, FREE NOVEMBER was awkwardly placed close to the heels of RUMINAREWhen questioned regarding the disappointing performance of RUMINARE, G Mosse stated that after being loaded into the barriers his mount became fractiousHe said he had to make considerable use of RUMINARE in the early stages to obtain a forward position, but was able to trail the leader of the race TOP BONUS after the 900 MetresHe said, despite being ridden out, RUMINARE was disappointing in the manner in which it weakened out of the raceA veterinary inspection of RUMINARE immediately following the race did not show any significant findings",,,,,3.6,0.0,"4,5,1,660.50",58.07,V086,LAL,,,"4,40.00","3,6,11",20160117,TURF ,MG,"[1.25, 2.25, 7.5, None, None, None]",GY,,,YML,"[13.32, 20.86, 23.89, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,11,"[13.12, 20.7, 23.06]",959.0
55.7,,,15,,,,,,Class 4,,,,"4,5,7,2,026.00",,12,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"Shortly after the start, MAJOR CONNECTION and CLEVER SPIRIT bumpedOver the concluding stages, MAJOR CONNECTION was awkwardly placed close to the heels of GLORY HORSIE",,,,,99.0,0.0,"4,5,1,660.50",58.1,V067,LAL,,,"4,40.00","12,12,12",20160117,TURF ,HCY,"[6.5, 10.75, 7.5, None, None, None]",GY,,,YML,"[14.16, 21.38, 22.56, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,12,"[13.12, 20.7, 23.06]",959.0
55.7,,,11,,,,,,Class 4,,,,"4,5,7,2,026.00",,13,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"Shortly after the start, MAJOR CONNECTION and CLEVER SPIRIT bumped",,,,,39.0,0.0,"4,5,1,660.50",58.37,T333,LAL,,,"4,40.00","10,11,13",20160117,TURF ,TON,"[3.5, 5.25, 9.25, None, None, None]",GY,,,YML,"[13.68, 20.98, 23.71, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,13,"[13.12, 20.7, 23.06]",954.0
55.7,,,2,,,,,,Class 4,,,,"4,5,7,2,026.00",,0,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"After being loaded, WINNING VIBE kicked out at the back gates, resulting in its left hind leg being caught over the back gate and the horse becoming castWINNING VIBE was removed from the barriers and examined by the Veterinary Officer who said it had a swollen left hind cannon and accordingly was not suitable to raceActing on this advice, WINNING VIBE was withdrawn by order of the StewardsBefore being allowed to race again, WINNING VIBE will be required to perform satisfactorily in a barrier trial and be subjected to an official veterinary examination",,,,,,0.0,"4,5,1,660.50",,V147,LAL,,,"4,40.00",,20160117,TURF ,RN,"[None, None, None, None, None, None]",GY,,,YML,"[None, None, None, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,WV-A,"[13.12, 20.7, 23.06]",
68.46,,,6,,,,,,Class 5,,,,"1,2,7,1,011.00",,1,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"After the 150 Metres, N Callan (PLANET GIANT) dropped his left reinNear the 50 Metres, MIGHTY GAINS got its head on the side and shifted out towards the hindquarters of PLANET GIANT, resulting in MIGHTY GAINS being awkwardly placed inside that horse and not able to be fully tested over the concluding stagesMIGHTY GAINS, PLANET GIANT and NOVEL START were sent for sampling",,,,,13.0,0.0,"1,7,297.00",70.41,T295,GR,,,"1,37.50","1,2,1",20160117,ALL WEATHER TRACK,CAN,"[0.1, 0.75, 0.2, None, None, None]",WS,,,CAN,"[23.71, 22.93, 23.77, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,1,"[23.71, 22.81, 23.89]",972.0
68.46,,,2,,,,,,Class 5,,,,"1,2,7,1,011.00",,2,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"MIGHTY GAINS, PLANET GIANT and NOVEL START were sent for sampling",,,,,3.6,0.0,"1,7,297.00",70.43,M255,GR,,,"1,37.50","5,3,2",20160117,ALL WEATHER TRACK,MR,"[2.0, 1.75, 0.2, None, None, None]",WS,,,CAN,"[24.03, 22.77, 23.63, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,2,"[23.71, 22.81, 23.89]",972.0
68.46,,,7,,,,,,Class 5,,,,"1,2,7,1,011.00",,3,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,THE PALADIN began awkwardly and shortly after the start was awkwardly placed outside the heels of HIGHLAND DRAGON which shifted out,,,,,14.0,0.0,"1,7,297.00",70.59,N265,GR,,,"1,37.50","4,5,3",20160117,ALL WEATHER TRACK,FRA,"[0.75, 2.25, 1.25, None, None, None]",WS,,,CAN,"[23.83, 23.05, 23.71, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,3,"[23.71, 22.81, 23.89]",970.0
68.46,,,1,,,,,,Class 5,,,,"1,2,7,1,011.00",,4,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"Near the 50 Metres, MIGHTY GAINS got its head on the side and shifted out towards the hindquarters of PLANET GIANT, resulting in MIGHTY GAINS being awkwardly placed inside that horse and not able to be fully tested over the concluding stagesMIGHTY GAINS, PLANET GIANT and NOVEL START were sent for sampling",,,,,3.3,0.0,"1,7,297.00",70.62,P260,GR,,,"1,37.50","2,1,4",20160117,ALL WEATHER TRACK,MOJ,"[0.1, 0.75, 1.25, None, None, None]",WS,,,CAN,"[23.71, 22.81, 24.1, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,4,"[23.71, 22.81, 23.89]",969.0
68.46,,,3,,,,,,Class 5,,,,"1,2,7,1,011.00",,5,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"In the early part of the Straight, EASY AHEAD and DANEWIN TIGER raced tight as EASY AHEAD shifted out to obtain clear running",,,,,8.9,0.0,"1,7,297.00",70.81,K212,GR,,,"1,37.50","11,10,5",20160117,ALL WEATHER TRACK,LDE,"[5.0, 5.0, 2.5, None, None, None]",WS,,,CAN,"[24.51, 22.81, 23.49, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,5,"[23.71, 22.81, 23.89]",967.0
68.46,,,5,,,,,,Class 5,,,,"1,2,7,1,011.00",,6,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"In the early part of the Straight, EASY AHEAD and DANEWIN TIGER raced tight as EASY AHEAD shifted out to obtain clear running",,,,,10.0,0.0,"1,7,297.00",71.03,L282,GR,,,"1,37.50","8,9,6",20160117,ALL WEATHER TRACK,WD,"[3.5, 4.75, 3.75, None, None, None]",WS,,,CAN,"[24.27, 23.01, 23.75, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,6,"[23.71, 22.81, 23.89]",964.0
68.46,,,10,,,,,,Class 5,,,,"1,2,7,1,011.00",,7,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,,,,,,25.0,0.0,"1,7,297.00",71.05,S157,GR,,,"1,37.50","6,6,7",20160117,ALL WEATHER TRACK,TEK,"[2.0, 3.25, 4.0, None, None, None]",WS,,,CAN,"[24.03, 23.01, 24.01, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,7,"[23.71, 22.81, 23.89]",964.0
68.46,,,4,,,,,,Class 5,,,,"1,2,7,1,011.00",,8,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"KING ON EARTH began only fairly, shifted out at the start and bumped the hindquarters of O'SOCOOLE which became unbalanced",,,,,9.2,0.0,"1,7,297.00",71.2,S032,GR,,,"1,37.50","7,8,8",20160117,ALL WEATHER TRACK,PB,"[2.25, 4.0, 5.0, None, None, None]",WS,,,CAN,"[24.07, 23.09, 24.04, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,8,"[23.71, 22.81, 23.89]",962.0
68.46,,,9,,,,,,Class 5,,,,"1,2,7,1,011.00",,9,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"KING ON EARTH began only fairly, shifted out at the start and bumped the hindquarters of O'SOCOOLE which became unbalancedAfter travelling a short distance, THE PALADIN and KING ON EARTH bumpedFrom approaching the 700 Metres, KING ON EARTH travelled wide and without cover",,,,,23.0,0.0,"1,7,297.00",71.58,L251,GR,,,"1,37.50","12,11,9",20160117,ALL WEATHER TRACK,LHW,"[5.0, 6.75, 7.25, None, None, None]",WS,,,CAN,"[24.51, 23.09, 23.98, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,9,"[23.71, 22.81, 23.89]",956.0
68.46,,,12,,,,,,Class 5,,,,"1,2,7,1,011.00",,10,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"Throughout the race, JET SET DRAGON and HAPPY HOMING travelled wide and without cover",,,,,40.0,0.0,"1,7,297.00",71.75,S384,GR,,,"1,37.50","3,4,10",20160117,ALL WEATHER TRACK,SCC,"[0.75, 2.0, 8.5, None, None, None]",WS,,,CAN,"[23.83, 23.01, 24.91, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,10,"[23.71, 22.81, 23.89]",954.0
68.46,,,11,,,,,,Class 5,,,,"1,2,7,1,011.00",,11,ST,,1-2-3-4,,1.01,,"1,133.00","1,7,2,5,885.00",,,0.01738884,,6,,"THE PALADIN began awkwardly and shortly after the start was awkwardly placed outside the heels of HIGHLAND DRAGON which shifted outAfter travelling a short distance, THE PALADIN and KING ON EARTH bumped",,,,,39.0,0.0,"1,7,297.00",71.8,T328,GR,,,"1,37.50","9,7,11",20160117,ALL WEATHER TRACK,HCY,"[4.0, 3.75, 8.75, None, None, None]",WS,,,CAN,"[24.35, 22.77, 24.68, None, None, None]",2,,"1,7,2,3,20,530.00","4/1,2,529.00",,,,,"1,7,104.00",,"Counter({u'LAL': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'NTK': 1, u'FC': 1, u'WS': 1, u'HL': 1, u'LKW': 1})","1,2,3,7,615.00",[133.0],,,1200,69.4,3.3,11,"[23.71, 22.81, 23.89]",953.0
